pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_mass,st_masserr1,st_masserr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_masse,pl_masseerr1,pl_masseerr2
Kepler-27,b,Kepler-27 b,Transit,0.118,0,0,0,,,,,0.65,0.16,-0.16,9.11,0,0,1,2895.31,0,0
KOI-13,b,KOI-13 b,Transit,0.03641,0.00087,-0.00087,0,0.00064,0.00012,-0.00016,0,1.72,0.1,-0.1,9.28,0.16,-0.16,0,2949.4624,50.8528,-50.8528
1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,330,0,0,0,,,,,0.85,0.2,-0.1,8,1,-1,0,3000,300,-300
SWEEPS-11,b,SWEEPS-11 b,Transit,0.03,0,0,0,,,,,1.1,0,0,9.7,5.6,-4.5,0,3082.82,1779.77,-1430.17
HATS-41,b,HATS-41 b,Transit,0.0583,0.0015,-0.001,0,0.38,0.11,-0.11,0,1.5,0.12,-0.08,9.7,1.6,-1.6,0,3082.951,508.528,-508.528
Kepler-75,b,Kepler-75 b,Transit,0.0818,0.0012,-0.0012,0,0.57,0.01,-0.01,0,0.91,0.04,-0.04,10.1,0.4,-0.4,0,3209.9,127.1,-127.1
CoRoT-27,b,CoRoT-27 b,Transit,0.0476,0.0066,-0.0066,0,0.065,,,1,1.05,0.11,-0.11,10.39,0.55,-0.55,0,3302.11,174.8,-174.8
WASP-18,b,WASP-18 b,Transit,0.02,0,0,0,,,,0,1.22,0,0,10.42954,0,0,0,3314.82,0,0
CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,Imaging,2.6,0.3,-0.3,0,,,,,0.02,0.01,-0.01,10.5,4.5,-4.5,0,3337.1,1430.2,-1430.2
DH Tau,b,DH Tau b,Imaging,330,0,0,0,,,,,0.33,0,0,11,10,-3,0,3496,3178,-953
HD 106906,b,HD 106906 b,Imaging,650,0,0,0,,,,,1.5,0.1,-0.1,11,2,-2,0,3496,636,-636
MOA-2010-BLG-073L,b,MOA-2010-BLG-073L b,Microlensing,1.21,0.16,-0.16,0,,,,,0.16,0.03,-0.03,11,2,-2,0,3496,635.6,-635.6
VHS J125601.92-125723.9,b,VHS J125601.92-125723.9 b,Imaging,102,9,-9,0,,,,,0.07,0.02,-0.01,11.2,9.7,-1.8,0,3559.696,3082.951,-572.094
GU Psc,b,GU Psc b,Imaging,2000,200,-200,0,,,,,0.33,0.03,-0.03,11.3,1.7,-1.7,0,3591.3,540.3,-540.3
MOA-2011-BLG-322L,b,MOA-2011-BLG-322L b,Microlensing,4.3,1.5,-1.2,0,,,,,0.39,0.45,-0.19,11.6,13.4,-5.6,0,3686.7,4258.7,-1779.8
2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,230,20,-20,0,,,,,0.6,0.05,-0.05,12.5,1.5,-1.5,0,3972.875,476.745,-476.745
