,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
487,Kepler-243,b,Kepler-243 b,Transit,0,2,5.715442,1.1e-05,-1.1e-05,0.0,0.062,,,0,,,,,,,,,,,,,,0.219,0.103,-0.103,0,,,,,0,1,0,1,19h00m26.51s,285.11047,+42d02m02.2s,42.033958,707.94,9.98,-9.98,0,707.94,9.98,-9.98,0.0,15.086,,0,Kepler-band,15.057,,0.0,5228.0,200.0,-200.0,0,,,,,0.84,0.4,-0.4,0.0,5/14/2014,Kepler
488,Kepler-243,c,Kepler-243 c,Transit,0,2,20.026218,0.000163,-0.000163,0.0,0.142,,,0,,,,,,,,,,,,,,0.178,0.087,-0.087,0,,,,,0,1,0,1,19h00m26.51s,285.11047,+42d02m02.2s,42.033958,707.94,9.98,-9.98,0,707.94,9.98,-9.98,0.0,15.086,,0,Kepler-band,15.057,,0.0,5228.0,200.0,-200.0,0,,,,,0.84,0.4,-0.4,0.0,5/14/2014,Kepler
489,Kepler-176,b,Kepler-176 b,Transit,0,4,5.433074,2.4e-05,-2.4e-05,0.0,0.058,,,0,,,,,,,,,,,,,,0.128,0.065,-0.065,0,,,,,0,1,0,1,19h38m40.31s,294.667956,+43d51m11.7s,43.853259,535.4,6.13,-6.13,0,535.4,6.13,-6.13,0.0,14.55,,0,Kepler-band,14.545,,0.0,5232.0,200.0,-200.0,0,,,,,0.89,0.46,-0.46,0.0,5/14/2014,Kepler
490,Kepler-176,c,Kepler-176 c,Transit,0,4,12.759712,3.3e-05,-3.3e-05,0.0,0.102,,,0,,,,,,,,,,,,,,0.232,0.119,-0.119,0,,,,,1,1,0,1,19h38m40.31s,294.667956,+43d51m11.7s,43.853259,535.4,6.13,-6.13,0,535.4,6.13,-6.13,0.0,14.55,,0,Kepler-band,14.545,,0.0,5232.0,200.0,-200.0,0,,,,,0.89,0.46,-0.46,0.0,5/14/2014,Kepler
491,Kepler-176,d,Kepler-176 d,Transit,0,4,25.751974,0.000115,-0.000115,0.0,0.163,,,0,,,,,,,,,,,,,,0.224,0.118,-0.118,0,,,,,1,1,0,1,19h38m40.31s,294.667956,+43d51m11.7s,43.853259,535.4,6.13,-6.13,0,535.4,6.13,-6.13,0.0,14.55,,0,Kepler-band,14.545,,0.0,5232.0,200.0,-200.0,0,,,,,0.89,0.46,-0.46,0.0,5/14/2014,Kepler
492,Kepler-189,b,Kepler-189 b,Transit,0,2,10.399931,8.5e-05,-8.5e-05,0.0,0.088,,,0,,,,,,,,,,,,,,0.108,0.054,-0.054,0,,,,,0,1,0,1,19h10m15.54s,287.564731,+44d18m18.0s,44.305004,601.75,7.24,-7.24,0,601.75,7.24,-7.24,0.0,14.859,,0,Kepler-band,14.821,,0.0,5235.0,200.0,-200.0,0,,,,,0.75,0.38,-0.38,0.0,5/14/2014,Kepler
493,Kepler-189,c,Kepler-189 c,Transit,0,2,20.134866,5.7e-05,-5.7e-05,0.0,0.137,,,0,,,,,,,,,,,,,,0.212,0.106,-0.106,0,,,,,0,1,0,1,19h10m15.54s,287.564731,+44d18m18.0s,44.305004,601.75,7.24,-7.24,0,601.75,7.24,-7.24,0.0,14.859,,0,Kepler-band,14.821,,0.0,5235.0,200.0,-200.0,0,,,,,0.75,0.38,-0.38,0.0,5/14/2014,Kepler
494,NGTS-8,b,NGTS-8 b,Transit,0,1,2.4997,1e-05,-1e-05,0.0,0.035,0.001,-0.001,0,0.01,0.014,-0.01,0.0,86.9,0.5,-0.5,0.0,0.93,0.04,-0.03,0.0,Mass,1.09,0.03,-0.03,0,0.89,0.08,-0.07,0.0,0,0,0,0,21h55m54.2s,328.975833,-14d04m05.85s,-14.068292,434.28,5.65,-5.65,0,434.28,5.65,-5.65,0.0,13.68,0.06,0,V (Johnson),13.495,,0.0,5241.0,50.0,-50.0,0,0.89,0.05,-0.04,0.0,0.98,0.02,-0.02,0.0,11/21/2019,Paranal Observatory
495,Kepler-221,b,Kepler-221 b,Transit,0,4,2.795906,4e-06,-4e-06,0.0,0.037,,,0,,,,,,,,,,,,,,0.153,0.015,-0.015,0,,,,,0,1,0,1,19h46m37.14s,296.654765,+46d50m07.0s,46.83527,389.55,2.88,-2.88,0,389.55,2.88,-2.88,0.0,13.749,,0,Kepler-band,13.749,,0.0,5243.0,100.0,-100.0,0,,,,,0.82,0.07,-0.07,0.0,5/14/2014,Kepler
496,Kepler-221,c,Kepler-221 c,Transit,0,4,5.690586,4e-06,-4e-06,0.0,0.059,,,0,,,,,,,,,,,,,,0.261,0.024,-0.024,0,,,,,0,1,0,1,19h46m37.14s,296.654765,+46d50m07.0s,46.83527,389.55,2.88,-2.88,0,389.55,2.88,-2.88,0.0,13.749,,0,Kepler-band,13.749,,0.0,5243.0,100.0,-100.0,0,,,,,0.82,0.07,-0.07,0.0,5/14/2014,Kepler
497,Kepler-221,d,Kepler-221 d,Transit,0,4,10.04156,1.1e-05,-1.1e-05,0.0,0.087,,,0,,,,,,,,,,,,,,0.244,0.022,-0.022,0,,,,,0,1,0,1,19h46m37.14s,296.654765,+46d50m07.0s,46.83527,389.55,2.88,-2.88,0,389.55,2.88,-2.88,0.0,13.749,,0,Kepler-band,13.749,,0.0,5243.0,100.0,-100.0,0,,,,,0.82,0.07,-0.07,0.0,5/14/2014,Kepler
