pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_facility,gaia_plx,gaia_plxerr1,gaia_plxerr2,gaia_plxlim,st_radv,st_radverr1,st_radverr2,st_radvlim,st_sp,st_spstr,st_sperr,st_splim
Kepler-296,b,Kepler-296 b,Transit,0,5,10.864384,0.000051,-0.000046,0,0.079,0.013,-0.013,0,0.33,,,1,0.144,0.026,-0.024,0,,,,,0,1,0,2,19h06m09.60s,286.540008,+49d26m14.4s,49.437326,226,28,-18,0,,,,,15.921,,0,Kepler-band,15.901,,0,3740,130,-130,0,0.5,0.07,-0.09,0,0.48,0.07,-0.09,0,9/3/2015,,,,,Kepler,,,,,,,,,6.2,M2 V,,0
Kepler-296,c,Kepler-296 c,Transit,0,5,5.8416366,0.00001,-0.00001,0,0.0521,0.0088,-0.0086,0,0.33,,,1,0.178,0.029,-0.029,0,,,,,0,1,0,2,19h06m09.60s,286.540008,+49d26m14.4s,49.437326,226,28,-18,0,,,,,15.921,,0,Kepler-band,15.901,,0,3740,130,-130,0,0.5,0.07,-0.09,0,0.48,0.07,-0.09,0,9/3/2015,,,,,Kepler,,,,,,,,,6.2,M2 V,,0
Kepler-296,d,Kepler-296 d,Transit,0,5,19.850291,0.000061,-0.000057,0,0.118,0.02,-0.02,0,0.33,,,1,0.186,0.029,-0.029,0,,,,,0,1,0,2,19h06m09.60s,286.540008,+49d26m14.4s,49.437326,226,28,-18,0,,,,,15.921,,0,Kepler-band,15.901,,0,3740,130,-130,0,0.5,0.07,-0.09,0,0.48,0.07,-0.09,0,9/3/2015,,,,,Kepler,,,,,,,,,6.2,M2 V,,0
Kepler-296,e,Kepler-296 e,Transit,0,5,34.14211,0.00025,-0.00025,0,0.169,0.029,-0.028,0,0.33,,,1,0.136,0.024,-0.022,0,,,,,0,1,0,2,19h06m09.60s,286.540008,+49d26m14.4s,49.437326,226,28,-18,0,,,,,15.921,,0,Kepler-band,15.901,,0,3740,130,-130,0,0.5,0.07,-0.09,0,0.48,0.07,-0.09,0,9/3/2015,,,,,Kepler,,,,,,,,,6.2,M2 V,,0
Kepler-296,f,Kepler-296 f,Transit,0,5,63.33627,0.0006,-0.00062,0,0.255,0.043,-0.042,0,0.33,,,1,0.161,0.028,-0.027,0,,,,,0,1,0,2,19h06m09.60s,286.540008,+49d26m14.4s,49.437326,226,28,-18,0,,,,,15.921,,0,Kepler-band,15.901,,0,3740,130,-130,0,0.5,0.07,-0.09,0,0.48,0.07,-0.09,0,9/3/2015,,,,,Kepler,,,,,,,,,6.2,M2 V,,0
Kepler-438,b,Kepler-438 b,Transit,0,1,35.23319,0.00025,-0.00029,0,0.166,0.051,-0.042,0,0.03,0.1,-0.03,-1,0.1,0.01,-0.02,0,,,,,0,1,0,1,18h46m34.99s,281.645806,+41d57m03.9s,41.951092,145,20,-23,0,195.94,4.73,-4.73,0,14.467,,0,Kepler-band,14.485,,0,3748,112,-112,0,0.54,0.04,-0.06,0,0.52,0.04,-0.06,0,1/6/2015,,,,,Kepler,5.1,0.12,-0.12,0,,,,,,,,
Kepler-186,f,Kepler-186 f,Transit,1,5,129.9441,0.0013,-0.0012,0,0.432,0.171,-0.053,0,0.04,0.07,-0.04,-1,0.104,0.007,-0.007,0,,,,,0,1,0,2,19h54m36.65s,298.652714,+43d57m18.1s,43.955017,172,13,-10,0,178.51,0.78,-0.78,0,14.625,,0,Kepler-band,14.599,,0,3755,90,-90,0,0.54,0.02,-0.02,0,0.52,0.02,-0.02,0,1/14/2015,,,,,Kepler,5.6,0.02,-0.02,0,,,,,6.1,M1,,0
L 168-9,b,L 168-9 b,Transit,0,1,1.4015,0.00018,-0.00018,0,0.02091,0.00024,-0.00024,0,0.21,,,1,0.124,0.008,-0.008,0,9.6,2.4,-1.8,0,0,0,0,0,23h20m07.53s,350.031372,-60d03m54.7s,-60.065182,25.17,0.02,-0.02,0,25.17,0.02,-0.02,0,11.014,0.011,0,V (Johnson),10.232,,0,3800,70,-70,0,0.62,0.03,-0.03,0,0.6,0.02,-0.02,0,2/13/2020,3.66,0.47,-0.46,0,Transiting Exoplanet Survey Satellite (TESS),39.73,0.04,-0.04,0,,,,,6.1,M1 V,,0
Kepler-45,b,Kepler-45 b,Transit,0,1,2.455239,0.000004,-0.000004,0,0.03,,,0,0.11,0.1,-0.09,0,0.96,0.11,-0.11,0,0.8,0.5,-0.5,0,0,1,0,1,19h31m29.50s,292.8729,+41d03m51.3s,41.064261,333,33,-33,0,386.04,6.47,-6.47,0,16.88,0.05,0,V (Johnson),15.98,,0,3820,90,-90,0,0.59,0.06,-0.06,0,0.55,0.11,-0.11,0,5/14/2014,110,10,-10,0,Kepler,2.59,0.04,-0.04,0,,,,,6,M,,
NGTS-1,b,NGTS-1 b,Transit,0,1,2.647298,0.00002,-0.00002,0,0.0326,0.0047,-0.0045,0,0.016,0.023,-0.012,0,1.33,0.61,-0.33,0,0.42,0.59,-0.28,0,0,0,0,0,05h30m51.45s,82.714378,-36d37m50.8s,-36.630787,224,37,-44,0,219.5,1.04,-1.04,0,15.524,0.083,0,V (Johnson),14.866,,0,3916,71,-63,0,0.62,0.02,-0.06,0,0.57,0.08,-0.08,0,11/9/2017,166,11,-11,0,Paranal Observatory,4.56,0.02,-0.02,0,97.18,0.01,-0.01,0,6,M0.5,,0
